id,label,lang,text,group_id,is_augmented
chq-001,cheque,en,"A customer gave me a cheque of Rs 1,20,000 for goods supplied to his shop. The bank returned it saying insufficient funds. He keeps promising to pay next week but nothing comes.",chq-001,False
chq-001-v1,cheque,en,"Sir, A customer gave me a cheque of Rs 72,000 for goods supplied to his store. The bank returned it saying insufficient funds. He keeps promising to pay next week but nothing comes.",chq-001,True
chq-001-v2,cheque,en,"A customer gave me a cheque of Rs 300,000 for goods supplied to his store. The bank returned it saying insufficient funds. He keeps promising to pay next week but nothing comes. Kindly guide me on the next steps.",chq-001,True
chq-001-v3,cheque,en,"A customer gave me a cheque of Rs 300,000 for goods supplied to his store. The bank returned it saying insufficient funds. He keeps promising to pay next week but nothing comes.",chq-001,True
chq-002,cheque,en,"I lent my colleague Rs 50,000 and he repaid me with a post dated cheque. When I deposited it on the date, it bounced with the remark funds insufficient. He is now avoiding me at office.",chq-002,False
chq-002-v1,cheque,en,"I lent my colleague Rs 75,000 and he repaid me with a post dated cheque. When I deposited it on the date, it was dishonoured with the remark funds insufficient. He is now avoiding me at office.",chq-002,True
chq-002-v2,cheque,en,"Hello, I lent my colleague Rs 100,000 and he repaid me with a post dated cheque. When I deposited it on the date, it came back unpaid with the remark funds insufficient. He is now avoiding me at office.",chq-002,True
chq-002-v3,cheque,en,"I lent my colleague Rs 20,000 and he repaid me with a post dated cheque. When I deposited it on the date, it came back unpaid with the remark funds insufficient. He is now avoiding me at office.",chq-002,True
chq-003,cheque,en,"The cheque my business partner gave me for my share of profits, Rs 3.5 lakhs, was dishonoured twice. His bank says the signature does not match. I believe he did this deliberately.",chq-003,False
chq-003-v1,cheque,en,"The cheque my business partner gave me for my share of profits, Rs 3.5 lakhs, was dishonoured twice. His bank says the signature does not match. I believe he did this deliberately. Is there any legal option for me?",chq-003,True
chq-003-v2,cheque,en,"The cheque my business partner gave me for my share of profits, Rs 3.5 lakhs, was dishonoured twice. His bank says the signature does not match. I believe he did this deliberately. Please advise.",chq-003,True
chq-003-v3,cheque,en,"The cheque my business partner gave me for my share of profits, Rs 3.5 lakhs, was dishonoured twice. His bank says the signature does not match. I believe he did this deliberately. Kindly guide me on the next steps.",chq-003,True
chq-004,cheque,en,"My tenant paid two months rent with a cheque that bounced. He has also not paid the following month. The cheque was for Rs 36,000. What is the process to recover this?",chq-004,False
chq-004-v1,cheque,en,"My tenant paid two months rent with a cheque that was dishonoured. He has also not paid the following month. The cheque was for Rs 14,000. What is the process to recover this? What should I do now?",chq-004,True
chq-004-v2,cheque,en,"Please help me with this. My tenant paid two months rent with a cheque that came back unpaid. He has also not paid the following month. The cheque was for Rs 72,000. What is the process to recover this?",chq-004,True
chq-004-v3,cheque,en,"My tenant paid two months rent with a cheque that was dishonoured. He has also not paid the following month. The cheque was for Rs 29,000. What is the process to recover this?",chq-004,True
chq-006,cheque,hi-rom,"Maine apne dost ko 2 lakh udhaar diye the shaadi ke liye. Usne cheque diya tha wapas karne ke liye, wo bounce ho gaya. Ab wo phone nahi uthata. Notice bhejna padega kya?",chq-006,False
chq-006-v1,cheque,hi-rom,"Maine apne dost ko 2 lakh udhaar diye the shaadi ke liye. Usne cheque diya tha wapas karne ke liye, wo bounce ho gaya. Ab wo mobile nahi uthata. Notice bhejna padega kya?",chq-006,True
chq-006-v2,cheque,hi-rom,"Maine apne dost ko 2 lakh udhaar diye the shaadi ke liye. Usne cheque diya tha wapas karne ke liye, wo bounce ho gaya. Ab wo mobile nahi uthata. Notice bhejna padega kya? What should I do now?",chq-006,True
chq-006-v3,cheque,hi-rom,"Maine apne dost ko 2 lakh udhaar diye the shaadi ke liye. Usne cheque diya tha wapas karne ke liye, wo bounce ho gaya. Ab wo mobile nahi uthata. Notice bhejna padega kya? Is there any legal option for me?",chq-006,True
chq-007,cheque,en,"Our landlord returned our security deposit with a cheque of Rs 80,000 when we vacated. It bounced with stop payment marked. He says we damaged the flat, which is untrue, and refuses to pay now.",chq-007,False
chq-007-v1,cheque,en,"Our landlord returned our security deposit with a cheque of Rs 64,000 when we vacated. It came back unpaid with stop payment marked. He says we damaged the apartment, which is untrue, and refuses to pay now.",chq-007,True
chq-007-v2,cheque,en,"Our landlord returned our security deposit with a cheque of Rs 120,000 when we vacated. It came back unpaid with stop payment marked. He says we damaged the apartment, which is untrue, and refuses to pay now. What should I do now?",chq-007,True
chq-007-v3,cheque,en,"Our landlord returned our security deposit with a cheque of Rs 64,000 when we vacated. It was dishonoured with stop payment marked. He says we damaged the apartment, which is untrue, and refuses to pay now.",chq-007,True
chq-010,cheque,en,"My brother in law took Rs 5 lakhs from me for his business and gave a signed cheque as security. He has stopped repaying. If I deposit the cheque and it bounces, what can I do legally?",chq-010,False
chq-010-v1,cheque,en,"My brother in law took Rs 5 lakhs from me for his business and gave a signed cheque as security. He has stopped repaying. If I deposit the cheque and it bounces, what can I do legally? Kindly guide me on the next steps.",chq-010,True
chq-010-v2,cheque,en,"I need some guidance. My brother in law took Rs 5 lakhs from me for his business and gave a signed cheque as security. He has stopped repaying. If I deposit the cheque and it bounces, what can I do legally?",chq-010,True
chq-010-v3,cheque,en,"My brother in law took Rs 5 lakhs from me for his business and gave a signed cheque as security. He has stopped repaying. If I deposit the cheque and it bounces, what can I do legally? Is there any legal option for me?",chq-010,True
