id,label,lang,text
ten-001,tenancy,en,"I vacated my rented flat two months ago after giving proper notice. The landlord has not returned my security deposit of Rs 50,000 and now claims painting charges that were never mentioned in the agreement."
ten-002,tenancy,en,"My landlord is demanding a 40 percent rent increase in the middle of the agreement period. The agreement says 5 percent annual increase. He says accept or vacate within a month."
ten-003,tenancy,en,"The house I rent has severe water leakage in both bedrooms every monsoon. The landlord has ignored repair requests for two years and says tenants must handle maintenance."
ten-004,tenancy,en,"My landlord entered my flat with his own key while my family was away. He says the flat is his property and he can inspect it whenever he wants."
ten-005,tenancy,en,"We have lived in this house for eight years, always paying rent on time. The landlord's son now wants the house and they have given us fifteen days to leave without any written notice."
ten-006,tenancy,hi-rom,"Makaan malik ne bina bataye bijli ka connection kata diya kyunki humne rent badhane se mana kar diya. Do din se bacche andhere me padh rahe hain. Ye legal hai kya?"
ten-007,tenancy,en,"My landlord collects Rs 3,000 monthly for maintenance but the lift has not worked for six months and the common areas are never cleaned. He refuses to account for the money."
ten-008,tenancy,en,"The flat owner sold the flat I live in without informing me. The new owner is demanding I vacate immediately even though my registered lease has fourteen months remaining."
ten-009,tenancy,en,"I asked for a refund of my deposit after vacating, and the owner says the interior needed deep cleaning and repainting so nothing is refundable. He has no bills to show and the flat was left in good condition."
ten-010,tenancy,en,"My landlord charges me for electricity at Rs 12 per unit through a submeter while the actual tariff is around Rs 7. Over three years this adds up to a huge amount. Can I recover this?"
ten-011,tenancy,en,"The landlord has been pressuring us to vacate by making excuses, and yesterday he dumped construction material blocking our door and the parking. Police said it is a civil matter."
ten-012,tenancy,en,"I paid eleven months rent in advance as the landlord insisted, with no written agreement. Now he denies receiving the advance and has issued a notice for non payment of rent."
ten-013,tenancy,en,"Our landlady locked the terrace and the common washing area that were part of the agreed amenities. She says these are her private areas now and the rent stays the same."
ten-014,tenancy,en,"My rent agreement expired last month. The landlord refuses to renew it but also refuses to return the deposit, saying I should continue month to month. I want the security of a written agreement."
ten-015,tenancy,en,"I am a tenant in a shop for twelve years. The landlord wants to demolish the building for redevelopment and offers no alternative space or compensation. My entire business depends on this location."
ten-016,tenancy,en,"The house owner deducted Rs 22,000 from my deposit for a broken geyser that was already broken when I moved in. I have the move in photos with timestamps showing the damage."
ten-017,tenancy,hi-rom,"Owner ne flat dikhaya tha furnished bol ke, shift hone ke baad aadha saman utha le gaya. Rent wahi le raha hai full furnished ka. Agreement me itemised list nahi hai, meri galti hai, par kuch to ho sakta hai?"
ten-018,tenancy,en,"My landlord has filed a false police complaint saying I have not paid rent for a year. I have bank transfer records for every single month. He wants to scare us into leaving."
ten-019,tenancy,en,"The building I rent a flat in has been declared structurally unsafe by the municipal corporation. The landlord is still collecting full rent and says the notice is a formality."
ten-020,tenancy,en,"I run a tiffin service from my rented kitchen with the landlord's verbal permission from three years ago. Now he suddenly objects and threatens eviction for commercial use, demanding double rent to continue."
ten-021,tenancy,en,"After I complained about the broken staircase railing, the landlord stopped accepting my rent transfers so he can claim non payment. My last two transfers were returned."
ten-022,tenancy,en,"We are four working women sharing a rented flat. The landlord announced new rules banning visitors after 7 pm and weekly room inspections. This was never in the agreement."
ten-023,tenancy,en,"My office rented a floor in a commercial building. The owner has leased the parking we pay for to a car dealership. Our clients have nowhere to park and he refuses to reduce rent."
ten-024,tenancy,en,"The landlord took Rs 1 lakh as deposit and the agreement mentions only Rs 40,000 because he wanted to hide income. Now while returning he says only the written amount is owed."
ten-025,tenancy,en,"I gave two months notice as per the agreement, but the landlord says the lock in period is eleven months and I must pay rent for the remaining five months even after leaving."
ten-026,tenancy,en,"Our landlord passed away and his three sons are each separately demanding rent from us, threatening eviction if we pay the others. We do not know who legally owns the house now."
