id,label,lang,text
probe-con-001,consumer,en,"i had ordered one 1.5 ton split ac on 3rd april from the online site. installation done on 8th. from day one cooling issue. registered complaint no less than 6 times!!! every time technician comes says gas charge kiya hai now ok. next day same problem. now they say compressor is to be replaced but part not available since 3 weeks. summer is going on and product is lying dead. i want full refund nothing else. pathetic service."
probe-con-002,consumer,en,"This is regarding my order dated 12/01 for a saree costing rs 3899. What I received was a completely different cheap material saree worth hardly 500rs. Raised return same day with photos. They rejected saying quality check failed at their end?? HOW. Its their product only. Called customer care 11 times, everytime new person, new story. Please guide how to take this forward, I have all screenshots and the parcel opening video also."
probe-con-003,consumer,en,"purchased a bike from showroom in november. odometer was showing 212 km at delivery, they said its due to transportation and testing, normal only. later my mechanic found the engine was repainted and chassis month is of LAST YEAR. they sold me old stock vehicle as current year model and charged current year price. showroom manager is not even meeting me now. what to do sir."
probe-con-004,consumer,en,"Respected sir/madam, I booked a washing machine on the festival sale for 24,490 with exchange of my old machine. Delivery boys took the old machine but new one was never delivered!! Order shows cancelled by seller. Refund initiated they said 7-10 days. It is 47 days now. Where is my old machine also? Every call they say escalated to senior team. I am a senior citizen and this running around is very difficult for me."
probe-con-005,consumer,en,"my complaint is against a water park. bought family tickets online for sunday, reached at 10am with small children, they said park is booked for private event today, your tickets are valid for any other day. no prior information, no sms, no email, nothing!! we travelled 60km with kids. asked for refund they say tickets are non refundable as per terms. this is cheating in my opinion."
probe-con-006,consumer,en,"I gave 34000 to a laptop shop for a new laptop for my daughter's online classes. He gave a sealed box, at home we found the laptop was having someone else's stickers and login inside!!! Clearly used piece packed as new. Shop owner says company seal was intact so not his responsibility, contact company. Company says buy from authorised store only, this shop is not authorised. Both are washing hands. My money is gone and child has no laptop."
probe-con-007,consumer,en,"took health policy from agent who told everything is covered from day 1. my wife needed gallbladder operation in month 8 and claim rejected saying 2 year waiting period for this surgery. agent had never told this, he only took signatures on filled form. now agent says read policy document, insurance company says agent is not our employee. 68000 hospital bill paid from pocket. i am having all call recordings with agent."
probe-con-008,consumer,en,"sir i booked flat in 2019 possession promised dec 2021. till today no possession. builder office says work is going on you can see. i visited site, only 8 floors done out of 14. i have paid 52 lakhs which is 90 percent. emi and rent both are killing me every month. builder is launching NEW project 2km away with big hoardings. how is this allowed. rera complaint filed by some other buyers i heard. should i join them or file separate."
probe-con-009,consumer,en,"i purchased gold coin 10gm from a jewellery shop for my sister marriage. at home the coin weight was 9.62 gm on 3 different weighing scales. went back, they weighed on THEIR machine and it showed 10gm exact. how can machine show different. i asked for govt verified weighing they refused and asked me to leave the shop. i have the bill mentioning 10 gm."
probe-con-010,consumer,hi-rom,"maine ek courier se apne bhai ko medicine bheji thi urgent, unhone 2 din ka bola tha express charge leke 890 rupaye. parcel 9 din baad pahucha aur tab tak bhai ko hospital me admit karna pada tha. courier wale bolte hain delay ho jata hai kabhi kabhi, terms me likha hai. express ka matlab kya phir. mujhe compensation chahiye is laparwahi ka."
probe-con-011,consumer,en,"our society hired a lift AMC company paying 1.2 lakh yearly. lift stuck 14 times in 6 months, twice with people inside including pregnant lady from 4th floor. company sends mechanic after 4-5 hours each time. when we asked to cancel AMC and refund balance they are showing clause of no cancellation. safety issue hai ye, koi accident hoga tab jagenge kya. what are our options as society."
probe-con-012,consumer,en,"Bought refrigerator double door in exchange offer. Old fridge taken, 3000 exchange value promised to be adjusted in final invoice. Invoice came with NO exchange adjustment and when calling they say exchange value is given as coupon for next purchase!!! Nowhere this was mentioned during sale. Also fridge door is not closing properly from day 2, service request auto closed twice without any visit. Twice!!"
probe-chq-001,cheque,en,"sir my case is i supplied building material (cement, steel) to a contractor from feb to june on credit basis, total outstanding 4,80,000. he issued cheque of full amount on 30 june which returned on 2 july with remark FUNDS INSUFFICIENT. i informed him, he said deposit after 15 days, again bounce, same remark. now 20 days over from second memo. shall i send notice on first memo or second memo, is there any problem that i presented twice? kindly advise the correct procedure i dont want technical mistake."
