id,label,lang,text
con-001,consumer,en,"I bought a refrigerator from a local dealer three months ago and the compressor has already failed twice. The dealer says the warranty does not cover it and refuses to repair or replace it."
con-002,consumer,en,"Ordered a phone online for Rs 18,000. The box arrived with a used handset that has scratches on the screen. The seller rejected my return request saying the product was opened."
con-003,consumer,en,"The washing machine I purchased last month leaks water all over the floor. The service centre has visited three times and it still does not work. I want my money back."
con-004,consumer,en,"I paid Rs 45,000 to a furniture shop in Pune for a sofa set. They delivered a different colour and now they are not answering my calls."
con-005,consumer,en,"My new laptop stopped charging within two weeks. The brand service centre says the motherboard is damaged due to my fault and is demanding Rs 22,000 for repair even though it is under warranty."
con-006,consumer,hi-rom,"Maine ek online site se mixer grinder kharida tha, ek hafte me hi kharab ho gaya. Return request daali to reject kar di, bol rahe hain policy me nahi aata. Paise wapas kaise milenge?"
con-007,consumer,en,"A travel agency took Rs 60,000 from us for a Kerala package and cancelled the trip two days before departure. They are offering credit notes instead of a refund."
con-008,consumer,en,"The gym near my house charged me for an annual membership and shut down after four months. No refund, no response, the owner has blocked my number."
con-009,consumer,en,"I gave my car for service and they replaced parts without asking me, then billed me Rs 35,000. The old parts were not returned and the bill has vague charges."
con-010,consumer,en,"Bought a water purifier with a five year service contract. The company has skipped the last three scheduled services and now the filter is clogged."
con-011,consumer,en,"My son enrolled in a coaching institute that promised small batches and study material. The batches have eighty students and no material was given. They refuse to refund the Rs 90,000 fee."
con-012,consumer,en,"The courier company lost a parcel containing handmade sarees worth Rs 25,000 that I sent to my sister. They are offering only Rs 2,000 as per their terms."
con-013,consumer,en,"I purchased a mattress advertised with a ten year warranty. It sagged within six months and the company says sagging under 25mm is normal and not covered."
con-014,consumer,en,"We booked a flat in a project in Noida in 2021 and paid forty lakhs so far. The builder promised possession in 2023 and there is still no sign of completion. He keeps asking for more instalments."
con-015,consumer,en,"An electrician from an app based service damaged my ceiling fan and the wall while installing it. The company says technicians are independent partners and they are not responsible."
con-016,consumer,en,"The AC I bought in April cools for ten minutes and then trips. Four complaints registered, every time the technician says gas refilled, problem solved, and it fails again the next day."
con-017,consumer,en,"A bakery delivered a stale cake for my daughter's birthday and several guests fell sick. They refunded nothing and said we should have checked before cutting."
con-018,consumer,hi-rom,"Shaadi ke liye photographer book kiya tha 80,000 me. Aadhi photos blur hain aur video ab tak nahi mila, chaar mahine ho gaye. Wo bolta hai editing chal rahi hai."
con-019,consumer,en,"I paid for a premium seat on a flight and the airline shifted me to a middle seat at the gate. They refused to refund the seat charges of Rs 1,500."
con-020,consumer,en,"My spectacles from a branded optical store have the wrong power. The store says the prescription I gave was wrong, but their own optometrist did the eye test."
con-021,consumer,en,"Bought a second hand certified car from a dealership with a one year engine warranty. The engine seized in month five and now they claim the certification only covers electrical faults."
con-022,consumer,en,"My mother had cataract surgery at a private hospital and lost most vision in that eye. Another doctor says the wrong lens power was implanted. The hospital is refusing to share her complete medical records."
con-023,consumer,en,"The RO company installed a machine and took Rs 4,000 extra for a copper filter that was never fitted. The technician admits it verbally but the company denies it."
con-024,consumer,en,"I subscribed to a meal delivery service for a month. Half the deliveries never came and the food that did come was spoiled twice. They refuse any refund citing a no refund policy."
con-025,consumer,en,"A tailor shop took my wedding sherwani for alteration and ruined the embroidery. The outfit cost Rs 55,000 and they are offering Rs 5,000 as settlement."
con-026,consumer,en,"The inverter battery I bought carries a 36 month replacement warranty. It died in month twelve and the dealer keeps saying the company has not approved the claim."
con-027,consumer,en,"I paid an interior designer Rs 3 lakhs as advance. Work stopped after the false ceiling and he is not responding. The site has been idle for two months."
con-028,consumer,en,"Bought shoes from a showroom, the sole came off in one week. The store says sale items cannot be returned or exchanged, but the defect is clearly in manufacturing."
con-029,consumer,hi-rom,"Mobile recharge kiya 599 ka, balance nahi aaya. Customer care wale bolte hain 24 ghante me aa jayega, ab teen din ho gaye. Company complaint band kar deti hai bina solve kiye."
con-030,consumer,en,"The packers and movers company we hired from Delhi to Bangalore delivered our goods twenty days late and the TV and dining table were broken. They are ignoring the insurance claim they promised."
con-031,consumer,en,"My health insurance claim for my wife's hospitalization was rejected saying the illness was pre existing, but she was never diagnosed with it before this policy. The hospital bill was Rs 2.8 lakhs."
con-032,consumer,en,"A dermatologist clinic sold me a laser treatment package of eight sittings for Rs 40,000. After three sittings they shifted the clinic to another city and will not refund the remaining sittings."
con-033,consumer,en,"I bought a geyser and it burst within a month, damaging the bathroom tiles. The company replaced the geyser but refuses to pay for the damage their defective product caused."
con-034,consumer,en,"An online store delivered a fake branded watch. The serial number does not exist as per the brand's official website. The marketplace closed my complaint saying the seller has proof of authenticity."
con-035,consumer,en,"The school bus service we pay Rs 2,500 monthly for has been skipping pickups randomly. The operator refuses to adjust the fee for missed days and threatens to cancel the seat."
con-036,consumer,en,"I booked a banquet hall for my son's wedding with Rs 1 lakh advance. They double booked the date and cancelled on us three weeks before, and now say the advance is non refundable."
con-037,consumer,en,"A mobile shop sold me a phone with a bill showing a different IMEI number. When the phone developed a fault, the company refused warranty because the bill does not match the device."
con-038,consumer,en,"Solar panel company took full payment of Rs 1.6 lakhs in January promising installation in three weeks. It is June and only the frame has been put up on my roof."
con-039,consumer,en,"The dry cleaner shrunk my wife's silk saree worth Rs 30,000. Their receipt says maximum liability ten times the cleaning charge, which is just Rs 3,500."
con-040,consumer,en,"I ordered groceries worth Rs 3,200 and the app shows delivered but nothing came. Customer support keeps closing the ticket saying delivery partner confirmed the drop."
con-041,consumer,en,"Purchased a treadmill on EMI. It arrived with a broken display and the company wants me to keep paying EMIs while the replacement is pending for two months already."
con-042,consumer,hi-rom,"Local jeweller se sone ki chain banwai thi, 22 carat bola tha. Doosri dukaan pe check karwaya to 18 carat nikli. Bill pe purity likhi hai 22K. Kya kar sakta hoon?"
con-043,consumer,en,"The pest control service gave a one year warranty against termites. Termites are back in four months and they want to charge full price again for re treatment."
con-044,consumer,en,"My broadband provider billed me for a plan upgrade I never requested. They are threatening to send the extra amount to collections if I do not pay."
con-045,consumer,en,"A car dealership charged me Rs 28,000 for insurance but the policy they issued shows a premium of Rs 19,000. They refuse to explain or refund the difference."
con-046,consumer,en,"I bought a pressure cooker of a known brand and it exploded while cooking, injuring my hand. The company offered a replacement cooker but nothing for my medical expenses."
con-047,consumer,en,"My bank deducted Rs 590 four times as debit card annual charges in one year. Branch says it is a system error and will reverse, but three months have passed and nothing happened."
con-048,consumer,en,"An education app sold my father a subscription for my brother by promising a guaranteed government job selection. It is just recorded videos. They took Rs 1.2 lakhs as a loan in his name."
con-049,consumer,en,"The showroom promised free servicing for three years with my two wheeler. Now every service they add charges saying free covers only labour, not consumables, which was never told."
con-050,consumer,en,"I paid a matrimonial site Rs 50,000 for a personalised matchmaking plan with verified profiles. All the profiles they shared were unverified and half were inactive accounts."
con-051,consumer,en,"Received a damaged wardrobe from an online furniture store. They approved the return but pickup has not happened for six weeks and the refund is stuck pending pickup."
con-052,consumer,en,"A well known salon chain burned my scalp during a smoothening treatment. The dermatologist bill is Rs 12,000. The salon says I signed a consent form so they owe nothing."
con-053,consumer,en,"The society's authorised gas pipeline vendor charged every flat Rs 8,000 for connection but the metering is faulty and bills are three times the normal usage. He refuses recalibration."
con-054,consumer,en,"I booked a new car by paying Rs 50,000 and the dealer sold my allotted vehicle to someone else who paid more. Now he says wait four more months or take a higher variant."
con-055,consumer,en,"I run a small photocopy shop and bought a heavy duty printer for it. It has a paper feed defect from day one and the seller says business purchases have no return policy at all."
con-056,consumer,en,"An ayurvedic clinic advertised a guaranteed hair regrowth package. After paying Rs 35,000 and six months of treatment there is zero result and they say results vary person to person."
con-057,consumer,en,"My smart TV's panel developed lines in month ten. Warranty is twelve months but the service centre keeps postponing the visit, clearly waiting for the warranty to lapse."
con-058,consumer,hi-rom,"Online se saree mangwai thi maa ke liye 4,500 ki, photo me kuch aur thi, aayi kuch aur. Return window sirf 2 din ka tha jo delivery se pehle hi khatam ho gaya inke app me."
con-059,consumer,en,"The hotel we booked for our anniversary charged us for a sea view suite but gave a room facing the parking lot. Manager refused any adjustment and the booking site says contact the hotel."
con-060,consumer,en,"A phone repair shop replaced my display but my phone came back with a fake battery and missing screws. He denies opening anything beyond the screen."
con-061,consumer,en,"I paid Rs 15,000 to a driving school for twenty classes. The instructor stopped coming after seven classes and the school says that instructor left, pay again for a new one."
con-062,consumer,en,"Our housing society lift installed by a private company has been non functional for two months despite an AMC. My elderly parents are stuck on the sixth floor. The company ignores the AMC obligations."
con-063,consumer,en,"I ordered a laptop for Rs 62,000 from an online marketplace during a sale. The order was cancelled by the seller after a week without my consent and the refund is still not credited after 25 days."
con-064,consumer,en,"The bottled water supplier for our office delivered jars with visible algae twice. When we stopped payments he sent a legal threat for the pending bill instead of addressing the contamination."
con-065,consumer,en,"A fashion store's exchange policy says seven days but the branch manager refused exchange of an unworn kurta with tags intact on day three, saying festive purchases are final sale."
con-066,consumer,en,"I bought a puppy from a pet shop that certified vaccinations. The puppy fell seriously ill in a week and the vet found no vaccinations were given. The shop denies responsibility."
con-067,consumer,en,"The car wash subscription I bought promises doorstep service every week. They came twice in two months. The app shows all visits completed which is simply false."
con-068,consumer,en,"An appliance store delivered a display piece chimney at full price as brand new. The scratches were hidden under a plastic film with the box. They refuse replacement saying it was sold as seen."
con-069,consumer,en,"My daughter's school uniform vendor, the only authorised one, supplied poor quality uniforms that tore in a month. He charges triple the market rate and refuses any exchange."
con-070,consumer,en,"I gave an advance of Rs 10,000 for a modular kitchen quote. The company inflated the final quote by 60 percent over the agreed estimate and refuses to return the advance if I do not proceed."
con-071,consumer,en,"The e commerce app charged my card twice for one order of Rs 8,999. Bank says get a letter from the merchant, merchant says the second charge does not exist in their system."
con-072,consumer,en,"A fertility clinic package said all consultations and scans included. Every visit they add charges for something and we have paid Rs 70,000 beyond the package in four months."
con-073,consumer,hi-rom,"Bike showroom wale ne extended warranty ke naam pe 6,000 le liye bina bataye, bill me chupa ke daal diya. Ab bol rahe hain ye optional tha aapne sign kiya hai."
con-074,consumer,en,"My prepaid electricity meter recharge of Rs 2,000 failed but the amount was debited. The discom and the payment app are each saying the other is holding the money. It has been a month."
con-075,consumer,en,"The almirah I ordered came with a broken mirror and the delivery boys took a photo before I could open the package fully. Now the seller says it was delivered intact as per proof."
con-076,consumer,en,"A skin cream I bought from a pharmacy caused severe rashes. It turned out to be expired stock with a sticker pasted over the original date. I have kept the tube and the bill."
con-077,consumer,en,"Homestay host cancelled our confirmed Diwali booking a day before check in and the platform offered points instead of the Rs 22,000 refund. Hotels for those dates now cost double."
con-078,consumer,en,"I financed a mobile through a store's zero cost EMI offer. They quietly added a processing fee and insurance, so I am paying Rs 3,400 extra. The store says talk to the finance company."
con-079,consumer,en,"Our wedding caterer served 150 plates when we had paid for 250. Guests went hungry and he still billed the full amount, threatening to keep the security advance if we deduct anything."
con-080,consumer,en,"The branded chimney service technician demanded Rs 1,800 cash without a receipt for a visit that should be free under AMC. When I refused, he marked the complaint resolved without doing anything."
