id,label,lang,text
oth-001,other,en,"My employer has not paid salaries to anyone in the office for three months. HR keeps saying funds are coming next week. Some colleagues have resigned and even their dues are unpaid."
oth-002,other,en,"My brother and I jointly inherited our father's house. He has taken possession of the whole property, changed the locks and refuses to discuss partition or my share."
oth-003,other,en,"My husband drinks and beats me. Last week he pushed me in front of the children. His family says this is a private matter. I want to know my options but I am scared of going to the police alone."
oth-004,other,en,"The police station refused to register my FIR about my stolen motorcycle. The constable said such cases are never solved and told me to just forget it and buy a new one."
oth-005,other,en,"I gave my friend Rs 1.5 lakhs in cash over several months when he was in trouble. There is no paper, no cheque, only some WhatsApp chats where he admits it. He now denies borrowing anything."
oth-006,other,hi-rom,"Mere pati ne mujhe aur bacchon ko chhod diya hai aur doosri jagah reh raha hai. Kharcha bilkul nahi deta. Main private school me padhati hoon par guzara mushkil hai. Maintenance kaise milega?"
oth-007,other,en,"Someone called pretending to be from my bank and made me share an OTP. Rs 87,000 was transferred out of my account in three transactions. The bank says I shared the OTP so they are not liable."
oth-008,other,en,"My neighbour has extended his boundary wall two feet into my plot while I was posted in another state. The municipal records support my measurement but he refuses to demolish."
oth-009,other,en,"I was terminated from my job without notice or any inquiry after I reported my manager for harassment. The termination letter says performance issues, but my last three appraisals were excellent."
oth-010,other,en,"My father wants to write his will but my uncle is pressuring him to sign a settlement deed transferring farmland to him first. My father is 82 and gets confused. How do we protect him?"
oth-011,other,en,"A man on a scooter hit my daughter at a crossing and fled. Bystanders noted the number plate. Police traced him but say compensation is a court matter and their job ends with the challan."
oth-012,other,en,"My in laws are demanding a car one year after the wedding and have sent my wife back to us saying she can return with the car. We already gave more than we could afford at the wedding."
oth-013,other,en,"The company I worked at for six years is refusing to pay my gratuity, saying I resigned instead of retiring. My HR friend says gratuity applies after five years regardless. Who is right?"
oth-014,other,en,"Loan app agents are calling my entire contact list with morphed photos of me, claiming I am a fraudster. I borrowed Rs 8,000 and have already paid Rs 21,000. The harassment will not stop."
oth-015,other,en,"My wife filed for divorce and is asking for custody of both children with no visitation for me at all. I have never harmed them. I want to understand fathers rights in custody."
oth-016,other,en,"I received a link on WhatsApp about electricity bill payment. After clicking it, Rs 1.4 lakhs disappeared from my account overnight through a screen sharing app. Cyber cell took a complaint but nothing since."
