id,label,lang,text
chq-001,cheque,en,"A customer gave me a cheque of Rs 1,20,000 for goods supplied to his shop. The bank returned it saying insufficient funds. He keeps promising to pay next week but nothing comes."
chq-002,cheque,en,"I lent my colleague Rs 50,000 and he repaid me with a post dated cheque. When I deposited it on the date, it bounced with the remark funds insufficient. He is now avoiding me at office."
chq-003,cheque,en,"The cheque my business partner gave me for my share of profits, Rs 3.5 lakhs, was dishonoured twice. His bank says the signature does not match. I believe he did this deliberately."
chq-004,cheque,en,"My tenant paid two months rent with a cheque that bounced. He has also not paid the following month. The cheque was for Rs 36,000. What is the process to recover this?"
chq-005,cheque,en,"I sold my old Activa to a neighbour for Rs 42,000. He took the scooter and gave a cheque which came back unpaid, account closed. He says he will pay in cash slowly, monthly."
chq-006,cheque,hi-rom,"Maine apne dost ko 2 lakh udhaar diye the shaadi ke liye. Usne cheque diya tha wapas karne ke liye, wo bounce ho gaya. Ab wo phone nahi uthata. Notice bhejna padega kya?"
chq-007,cheque,en,"Our landlord returned our security deposit with a cheque of Rs 80,000 when we vacated. It bounced with stop payment marked. He says we damaged the flat, which is untrue, and refuses to pay now."
chq-008,cheque,en,"A builder repaid my cancelled booking amount with three post dated cheques. The first one for Rs 2 lakhs has bounced. The remaining two are dated next month and I doubt they will clear."
chq-009,cheque,en,"I supplied vegetables to a hotel on credit for six months. Their settlement cheque of Rs 1.8 lakhs was dishonoured. The manager says the owner is abroad and to wait indefinitely."
chq-010,cheque,en,"My brother in law took Rs 5 lakhs from me for his business and gave a signed cheque as security. He has stopped repaying. If I deposit the cheque and it bounces, what can I do legally?"
chq-011,cheque,en,"The company I worked for gave me my final settlement cheque of Rs 94,000 after I resigned. It bounced due to insufficient funds and HR has stopped responding to my emails."
chq-012,cheque,en,"I received a cheque of Rs 65,000 from a client for a website project. It was returned unpaid. I sent a legal notice fifteen days ago and he has neither replied nor paid."
chq-013,cheque,en,"A chit fund organiser in our locality gave members cheques when the fund matured. Mine for Rs 1 lakh bounced, and I know at least four others whose cheques also bounced."
chq-014,cheque,en,"My customer's cheque for Rs 30,000 bounced in March. I sent the demand notice within the time limit but he has now sent a reply through a lawyer claiming the cheque was stolen from him."
chq-015,cheque,en,"The buyer of my agricultural land paid part of the price by cheque, Rs 7 lakhs. It was dishonoured. Registration is already done in his name. I feel cheated and do not know the next step."
chq-016,cheque,en,"I gave my shop's old furniture and equipment to another shopkeeper for Rs 55,000. His cheque bounced twice. The bank memo says payment stopped by drawer. He is openly refusing to pay now."
